latitude,longitude
37.76910042512045,-122.42480099392432
37.75375881328452,-122.42420852656424
37.796279872318394,-122.40337249963181
37.75060024773504,-122.41753146271826
37.762137453604964,-122.42929480540909
37.78110301476311,-122.39922355924305
37.75909692154963,-122.44161265948088
37.771024547450594,-122.4156277322751
37.785142108970355,-122.41466253779326
37.79244079541842,-122.46363543502723
37.801417414917246,-122.44298209811951
37.77737016511012,-122.44756878833354
37.79769007966322,-122.42363676696472
37.79589383666711,-122.43142649369095
37.77630292555291,-122.41714009247593
37.7653327448575,-122.42517010584731
37.74734216562983,-122.42215236059577
37.795168515398935,-122.46067822960921
37.76939945067715,-122.39147013503849
37.756470812693095,-122.43873612627716
37.78207134998416,-122.4510817994635
37.7961054336112,-122.41795200126327
37.77262916430207,-122.40654443946343
37.7695012993806,-122.44462736294003
37.766462901092844,-122.42378710548125
37.78593448605546,-122.39839230512952
37.77574309294504,-122.45403099298535
37.775381974912094,-122.39476167585086
37.77134200462411,-122.43206578969712
37.76851829463031,-122.43988328622741
37.77665985395617,-122.42360232602864
37.772968095716934,-122.38748467679201
37.76962526757122,-122.43478917163836
37.770353587210465,-122.43102712657151
37.801399875392,-122.41108811585556
37.76871628701113,-122.41359882558753
37.80219859907034,-122.41788075971422
37.786875591472004,-122.42057502501427
37.780093370615084,-122.41849450236752
37.7725471895511,-122.40194623351636
37.798707686404725,-122.4368515694526
37.800762219149945,-122.41179432661062
37.802443609974446,-122.47131882752431
37.805837102385745,-122.40748981172428
37.749294915757105,-122.41606738825784
37.80288990061836,-122.42269904032571
37.79077880851001,-122.43433568357707
37.7755434482799,-122.41383209861024
37.785295462804186,-122.43790297173592
37.75787612584971,-122.42620784206277
